Serial No.	Radius		Area		Perimeter

1		3		28.27		18.85
2		5		78.54		31.42
3		7		153.94		43.98
4		9		254.47		56.55
5		11		380.13		69.12
6		9		254.47		56.55
7		11		380.13		69.12
8		13		530.93		81.68
9		15		706.86		94.25
10		17		907.92		106.81
11		15		706.86		94.25
12		17		907.92		106.81
13		19		1134.12		119.38
14		21		1385.45		131.95
15		23		1661.91		144.51
16		21		1385.45		131.95
17		23		1661.91		144.51
18		25		1963.50		157.08
19		27		2290.23		169.65
20		29		2642.09		182.21
21		27		2290.23		169.65
22		29		2642.09		182.21
23		31		3019.08		194.78
24		33		3421.20		207.35
25		35		3848.46		219.91
